epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.918,2.77456,2.09503,1.21133,0.62226,0.56617,0.55314,0.17085,2.49246,1.55607,0.95426,0.000661458,0.000661458,0.000661458
2,262.95,2.00584,1.04456,0.9135,0.87341,0.79623,0.85183,0.37559,1.93257,0.93466,0.86789,0.00119664,0.00119664,0.00119664
3,387.999,1.91899,0.97967,0.90064,0.86116,0.7778,0.81744,0.29713,2.21195,1.05707,0.90609,0.00159982,0.00159982,0.00159982
4,524.958,1.85526,0.94047,0.88971,0.86235,0.78344,0.8371,0.33809,2.06785,0.95102,0.8854,0.001406,0.001406,0.001406
5,631.763,1.79119,0.90276,0.88033,0.89888,0.83887,0.89498,0.42523,1.80559,0.8284,0.86045,0.001208,0.001208,0.001208
6,737.098,1.66881,0.84765,0.86662,0.88822,0.8372,0.88245,0.40533,1.79873,0.85492,0.85225,0.00101,0.00101,0.00101
7,840.254,1.60395,0.80113,0.85655,0.92438,0.86628,0.91996,0.49852,1.50038,0.73885,0.82572,0.000812,0.000812,0.000812
8,948.575,1.52189,0.77636,0.84996,0.93513,0.88898,0.9326,0.52332,1.44649,0.71464,0.81973,0.000614,0.000614,0.000614
9,1049.04,1.47345,0.73539,0.84373,0.93738,0.89305,0.93754,0.50462,1.49864,0.72139,0.82172,0.000416,0.000416,0.000416
10,1149.82,1.39143,0.69405,0.83871,0.95359,0.90943,0.95241,0.57376,1.31252,0.64401,0.81194,0.000218,0.000218,0.000218
